cycle_number,discharge_capacity
1,49.69816
2,47.65138
3,47.33756
4,47.48606
5,47.48013
6,47.40422
7,47.39162
8,47.30528
9,47.25036
10,47.18893
11,47.13905
12,47.09654
13,47.05701
14,46.98934
15,46.93279
16,46.93079
17,47.00341
18,46.9075
19,46.86171
20,46.83917
21,46.82291
22,46.80691
23,46.8305
24,46.82481
25,46.82482
26,47.44555
27,46.73934
28,46.75386
29,46.729
30,46.69896
31,46.67642
32,46.68613
33,46.68439
34,46.66506
35,46.65718
36,46.67005
37,46.61972
38,46.57905
39,46.56557
40,46.51844
41,46.49511
42,46.51959
43,46.49889
44,46.47328
45,46.46702
46,46.43304
47,46.40724
48,46.3781
49,46.36518
50,46.35081
51,46.32976
52,46.31372
53,46.29752
54,46.27015
55,46.27172
56,46.24122
57,46.21384
58,46.19932
59,46.17816
60,46.16376
61,46.14454
62,46.13861
63,46.11668
64,46.21813
65,46.06288
66,46.03978
67,46.00933
68,45.99955
69,45.97373
70,45.94638
71,45.92868
72,45.91765
73,46.71134
74,45.84235
75,45.83177
76,45.80797
77,45.78003
78,45.75359
79,45.71451
80,45.6632
81,45.62937
82,45.60513
83,45.56976
84,45.51608
85,45.48533
86,45.45316
87,45.41829
88,45.38808
89,45.38698
90,45.36966
91,45.31788
92,45.3649
93,45.25336
94,45.21478
95,45.18224
96,45.15463
97,45.11422
98,45.08489
99,45.0417
100,45.00305
101,44.96712
102,44.93614
103,44.88101
104,44.83706
105,44.79556
106,44.7658
107,44.7353
108,44.67121
109,44.664
110,44.58437
111,44.6116
112,44.48941
113,44.44799
114,44.41682
115,44.37802
116,44.35308
117,44.30423
118,44.27105
119,44.23355
120,44.17421
121,44.12721
122,44.06696
123,44.04418
124,44.00589
125,43.97374
126,43.87481
127,43.81834
128,43.77632
129,43.72833
130,44.30727
131,43.6588
132,43.63045
133,43.59076
134,43.54259
135,43.49261
136,43.44291
137,43.38656
138,43.34103
139,43.28365
140,43.31334
141,43.1924
142,43.15102
143,43.10598
144,43.06011
145,43.00696
146,42.96554
147,42.9087
148,42.84934
149,42.84726
150,42.76739
151,42.71104
152,42.66683
153,42.6366
154,42.58804
155,42.52282
156,42.48048
157,42.42546
158,42.36633
159,42.37684
160,42.28648
161,42.23643
162,42.19142
163,42.13478
164,42.08658
165,42.0415
166,42.00132
167,41.96453
168,41.90778
169,41.90134
170,41.80624
171,41.75781
172,41.69161
173,41.64439
174,41.58954
175,41.54444
176,41.49179
177,41.4343
178,41.38279
179,41.33878
180,41.29144
181,41.22312
182,41.17495
183,41.13456
184,41.07962
185,41.04909
186,40.9953
187,40.95168
188,40.9174
189,40.87438
190,40.82006
191,40.76916
192,40.71549
193,40.66327
194,40.62025
195,40.58217
196,40.541
197,40.50377
198,40.49267
199,40.40085
200,40.33047
201,40.28758
202,40.23138
203,40.19108
204,40.1393
205,40.1004
206,40.08007
207,40.01951
208,40.01231
209,39.93991
210,39.88475
211,39.83945
212,39.79659
213,39.75077
214,39.70872
215,39.67783
216,39.63604
217,39.58522
218,39.57608
219,39.48956
220,39.43796
221,39.39681
222,39.36115
223,39.29326
224,39.24407
225,39.2057
226,39.17818
227,39.13226
228,39.08195
229,39.02923
230,38.99194
231,38.94785
232,38.89634
233,38.85812
234,38.83027
235,38.78898
236,38.75858
237,38.70707
238,38.67294
239,38.62648
240,38.57971
241,38.53621
242,38.50229
243,38.45025
244,38.44259
245,38.41054
246,38.35796
247,38.31721
248,38.27037
249,38.22195
250,38.18329
251,38.1444
252,38.10666
253,38.08352
254,38.04116
255,42.08236
256,41.84918
257,41.65581
258,41.47398
259,41.30615
260,41.15184
261,41.02964
262,40.88344
263,40.75602
264,40.63102
265,40.53074
266,40.41232
267,40.26851
268,40.15174
269,40.10144
270,39.99967
271,39.88946
272,39.7791
273,39.68487
274,39.61728
275,39.52866
276,39.44275
277,39.35722
278,39.2642
279,39.1764
280,39.09865
281,39.02275
282,38.95944
283,38.89443
284,38.82885
285,38.75927
286,38.67949
287,38.61731
288,38.54571
289,38.46789
290,38.41449
291,38.34611
292,38.27954
293,38.20987
294,38.13361
295,38.07462
296,38.00981
297,37.94554
298,37.87512
299,37.82551
300,37.77911
301,37.7192
302,37.64659
303,37.6047
304,41.69265
305,41.43678
306,41.2697
307,41.07774
308,40.92695
309,40.79332
310,40.64489
311,40.52018
312,40.40265
313,40.28244
314,40.17522
315,40.05606
316,39.95178
317,39.85102
318,39.74157
319,39.63903
320,39.54296
321,39.45537
322,39.35817
323,39.26715
324,39.17189
325,39.08647
326,38.99776
327,38.90739
328,38.81683
329,38.72931
330,38.65914
331,38.57843
332,38.50454
333,38.43291
334,38.35235
335,38.28438
336,38.20582
337,38.1175
338,38.05363
339,37.99212
340,37.91241
341,37.83832
342,37.77477
343,37.70744
344,37.63203
345,37.57805
346,37.50412
347,37.43268
348,37.36675
349,37.30953
350,37.23489
351,37.16701
352,37.10841
353,37.05354
354,36.99716
355,36.93435
356,36.87842
357,36.81992
358,36.76198
359,36.70815
360,36.6626
361,36.59497
362,36.54125
363,36.49759
364,36.44404
365,36.38461
366,36.34085
367,36.28982
368,36.22927
369,36.1793
370,36.1373
371,36.07006
372,36.02228
373,35.97525
374,40.18842
375,36.48094
376,36.23198
377,36.10926
378,36.02743
379,35.95478
380,35.87711
381,35.79981
382,35.73538
383,35.6628
384,36.25977
385,35.53058
386,35.46218
387,35.40485
388,35.37031
389,35.31772
390,35.2605
391,35.20903
392,35.15557
393,35.10514
394,35.05512
395,35.00613
396,34.95545
397,34.9009
398,34.859
399,34.81033
400,34.76603
401,34.72205
402,34.68161
403,
404,35.22457
405,34.94253
406,34.74928
407,34.62339
408,34.51227
409,34.42841
410,34.34515
411,34.26379
412,34.24036
413,34.10456
414,34.03184
415,33.95997
416,33.89383
417,33.83553
418,33.76942
419,33.71856
420,33.65208
421,33.59827
422,35.03741
423,33.5178
424,33.46523
425,33.40404
426,33.3449
427,33.29347
428,33.24198
429,33.18927
430,33.14559
431,33.09211
432,33.03741
433,32.98263
434,32.9287
435,32.87591
436,32.83689
437,32.79206
438,32.74854
439,32.71039
440,32.66675
441,32.62814
442,32.58249
443,32.55449
444,32.50505
445,32.46099
446,32.41819
447,32.37575
448,32.33755
449,32.30325
450,32.26697
451,32.22722
452,32.18601
453,32.19612
454,
455,36.36947
456,36.05678
457,35.90529
458,35.78319
459,35.66293
460,35.55421
461,35.44464
462,35.33527
463,35.2427
464,35.1421
465,35.03217
466,34.94506
467,34.85083
468,34.76057
469,34.67296
470,34.58593
471,34.5079
472,34.41745
473,34.35111
474,34.27205
475,34.19627
476,34.122
477,34.04377
478,33.96382
479,33.88905
480,33.81257
481,33.76269
482,33.68203
483,33.60634
484,33.53056
485,33.46435
486,33.3983
487,33.32735
488,33.26436
489,33.21281
490,33.14625
491,33.08484
492,33.03588
493,32.96303
494,32.92766
495,32.83411
496,32.78421
497,32.71966
498,32.65338
499,32.59521
500,32.53484
501,32.4933
502,32.43089
503,32.35528
504,
505,
506,
507,
