cycle_number,discharge_capacity
1,61.1502
2,61.2233
3,61.242
4,61.2571
5,61.2579
6,61.2645
7,61.2588
8,61.2584
9,61.2581
10,61.2551
11,61.2573
12,61.2534
13,61.2523
14,61.2506
15,61.2486
16,61.2482
17,61.2448
18,61.244
19,61.2402
20,61.2405
21,61.2362
22,61.2334
23,61.2273
24,61.228
25,61.235
26,61.2212
27,61.2145
28,61.2116
29,61.2113
30,61.2052
31,61.2041
32,61.202
33,61.2019
34,61.1739
35,61.1931
36,61.1896
37,61.1829
38,61.1804
39,61.1731
40,61.1765
41,61.1689
42,61.1676
43,61.1645
44,61.157
45,61.156
46,61.1543
47,61.1487
48,61.1415
49,61.1407
50,61.1344
51,61.1252
52,61.1216
53,61.1148
54,61.1109
55,61.1095
56,61.1049
57,61.1054
58,61.0979
59,61.0928
60,61.0882
61,61.0801
62,61.078
63,61.0666
64,61.0681
65,61.0717
66,61.0651
67,61.0536
68,61.0483
69,61.0417
70,61.0399
71,61.0354
72,61.0308
73,61.0258
74,61.0224
75,61.0132
76,61.0104
77,61.0079
78,60.4719
79,60.7164
80,61.43534
81,61.38672
82,61.34815
83,61.31326
84,61.30439
85,61.28355
86,61.25789
87,61.2383
88,61.22399
89,61.20595
90,61.19497
91,61.18389
92,61.16721
93,61.15082
94,61.13137
95,61.12976
96,61.11366
97,61.08951
98,61.07502
99,61.08147
100,61.06902
101,61.06375
102,61.05774
103,61.04767
104,61.03961
105,61.02854
106,61.02217
107,61.00975
108,61.0042
109,60.99616
110,60.98648
111,60.98165
112,60.96877
113,60.98896
114,60.98467
115,60.98037
116,60.97232
117,60.96588
118,60.95689
119,60.95337
120,60.94165
121,60.93366
122,60.9257
123,60.91754
124,60.90951
125,60.89913
126,60.89396
127,60.88377
128,60.87729
129,60.86959
130,60.86129
131,60.85905
132,60.85274
133,60.84305
134,60.83433
135,60.82705
136,60.82073
137,60.81008
138,60.80193
139,60.79209
140,60.78392
141,60.77881
142,60.7753
143,60.76296
144,60.75674
145,60.74768
146,60.74485
147,60.73713
148,60.73066
149,60.72238
150,60.71773
151,60.7112
152,60.70489
153,60.69691
154,60.6873
155,60.68048
156,60.6748
157,60.66613
158,60.66071
159,60.65149
160,60.64354
161,60.63568
162,60.63116
163,60.62218
164,60.61764
165,60.60832
166,60.60029
167,60.59226
168,60.58582
169,60.57937
170,60.57293
171,60.56488
172,60.55689
173,60.55206
174,60.54398
175,60.53589
176,60.53105
177,60.52622
178,60.51818
179,60.51338
180,60.50206
181,60.49562
182,60.48757
183,60.47951
184,60.47469
185,60.46826
186,60.4626
187,60.3945
188,60.43098
189,60.43182
190,60.42666
191,60.41837
192,60.41256
193,60.40621
194,60.39768
195,60.39308
196,60.3842
197,60.38102
198,60.3703
199,60.36292
200,60.3562
201,60.34878
202,60.33903
203,60.3346
204,60.32305
205,60.31816
206,60.30568
207,60.29936
208,60.29357
209,60.28701
210,60.27656
211,60.27036
212,60.26358
213,60.25853
214,60.24916
215,60.2438
216,60.23953
217,60.23309
218,60.225
219,60.21647
220,60.21076
221,60.2016
222,60.193
223,60.18439
224,60.1752
225,60.16887
226,60.16151
227,60.15553
228,60.14636
229,60.14403
230,60.1355
231,60.23307
232,60.41077
233,60.38361
234,60.34801
235,60.31312
236,60.28324
237,60.25636
238,60.23375
239,60.20989
240,60.19055
241,60.17552
242,60.16035
243,60.1412
244,60.12547
245,60.11131
246,60.09628
247,60.08587
248,60.06852
249,60.05319
250,60.04141
251,60.02851
252,60.01885
253,60.00757
254,59.9979
255,59.98498
256,59.97538
257,59.96408
258,59.95441
259,59.94473
260,59.93509
261,59.9238
262,59.90931
263,59.89804
264,59.88999
265,59.88194
266,59.8691
267,59.86254
268,59.85133
269,59.84327
270,59.83361
271,59.82717
272,59.81589
273,59.80784
274,59.79979
275,59.79013
276,59.78054
277,59.77079
278,59.76195
279,59.75173
280,59.74504
281,59.74356
282,59.72687
283,59.71888
284,59.70641
285,59.69562
286,59.68578
287,59.67731
288,59.66882
289,59.65627
290,59.64074
291,59.63066
292,59.62099
293,59.6097
294,59.60154
295,59.58877
296,59.5759
297,59.56467
298,59.55496
299,59.54384
300,59.53431
301,59.52305
302,59.51351
303,59.50152
304,59.49296
305,59.48261
306,59.46808
307,59.46013
308,59.44976
309,59.4434
310,59.42595
311,59.41792
312,59.4055
313,59.39548
314,59.38414
315,59.37132
316,59.36005
317,59.352
318,59.34288
319,59.32951
320,59.31678
321,59.30705
322,59.29739
323,59.2893
324,59.28287
325,59.27334
326,59.26618
327,59.25932
328,59.25026
329,59.24188
330,59.2244
331,59.20968
332,59.19899
333,59.19081
334,59.17643
335,59.16675
336,59.15528
337,59.14098
338,59.13197
339,59.12006
340,59.10878
341,59.09615
342,59.08325
343,59.07174
344,59.05886
345,59.0476
346,59.03643
347,59.0228
348,59.01381
349,58.99769
350,58.98631
351,58.97536
352,58.95996
353,58.94884
354,58.93981
355,58.9274
356,58.91584
357,58.90364
358,58.89569
359,58.88412
360,58.87148
361,58.85833
362,58.8476
363,58.83211
364,58.81916
365,58.80976
366,58.79811
367,58.78511
368,58.77612
369,58.76493
370,58.75482
371,58.74351
372,58.72906
373,58.71483
374,58.70288
375,58.68839
376,58.67552
377,58.66078
378,58.64589
379,58.63364
380,58.62075
381,58.61235
382,58.59825
383,58.58546
384,58.58176
385,58.58883
386,58.57921
387,58.56841
388,58.54903
389,58.53776
390,58.53278
391,58.5172
392,58.50306
393,58.4913
394,58.47758
395,58.46262
396,58.4497
397,58.43365
398,58.42145
399,58.41276
400,58.40123
401,58.38849
402,58.37417
403,58.36063
404,58.34706
405,58.34053
406,58.32371
407,58.31273
408,58.29816
409,58.28757
410,58.27466
411,58.26489
412,58.25338
413,58.24183
414,58.23085
415,58.21579
416,58.20045
417,58.18893
418,58.17083
419,58.15772
420,58.14813
421,58.13507
422,58.12524
423,58.11358
424,58.10473
425,58.09341
426,58.08299
427,58.0722
428,58.05588
429,58.04083
430,58.02647
431,58.01574
432,58.0012
433,57.9875
434,57.97637
435,57.96636
436,57.9532
437,57.94264
438,57.93213
439,57.91832
440,57.9104
441,57.89703
442,57.88438
443,57.87029
444,57.85565
445,57.84194
446,57.82619
447,57.81386
448,57.78303
449,57.76003
450,57.74071
451,57.71978
452,57.70865
453,57.71443
454,57.70081
455,57.68762
456,57.67254
457,57.65303
458,57.64897
459,57.64088
460,57.62642
461,57.61837
462,57.60709
463,57.59262
464,57.58069
465,57.57166
466,57.55961
467,57.54614
468,57.5298
469,57.51838
470,57.50062
471,57.48837
472,57.48006
473,57.46613
474,57.46022
475,57.44643
476,57.43915
477,57.4306
478,57.41503
479,57.39843
480,57.39487
481,57.37217
482,57.36015
483,57.35096
484,57.32204
485,57.32195
486,57.31447
487,57.34868
488,57.33965
489,57.3309
490,57.32101
491,57.3052
492,57.29309
493,57.27973
494,57.26706
495,57.25621
496,57.24644
497,57.23308
498,57.22236
499,57.20622
500,57.15074
501,57.14373
502,57.13109
503,57.12115
504,57.10805
505,57.09701
506,57.08414
507,57.07497
508,57.05189
509,57.03274
510,57.02019
511,57.00181
512,56.99293
513,56.98527
514,56.97496
515,56.9597
516,56.94463
517,56.93504
518,56.92047
519,56.91845
520,56.90255
521,56.89434
522,56.88103
523,56.87161
524,56.86101
525,56.84815
526,56.83791
527,56.82829
528,56.81526
529,56.80065
530,57.55991
531,57.60082
532,57.6033
533,57.58841
534,57.56898
535,57.54679
536,57.52988
537,57.50893
538,57.489
539,57.47308
540,57.4503
541,57.42911
542,57.40679
543,57.38205
544,57.38813
545,57.37985
546,57.3621
547,57.34119
548,57.32509
549,57.30276
550,57.2892
551,57.27545
552,57.26082
553,57.24259
554,57.23003
555,57.21071
556,57.1961
557,57.1721
558,57.15522
559,57.13952
560,57.12817
561,57.11214
562,57.09634
563,57.0802
564,57.06572
565,57.07215
566,57.05953
567,57.04152
568,57.02582
569,57.00615
570,56.99323
571,56.97714
572,56.96357
573,56.94582
574,56.93174
575,56.91765
576,56.90063
577,56.88809
578,56.86928
579,56.85546
580,56.84229
581,56.83379
582,56.81382
583,56.80207
584,56.78055
585,56.76477
586,56.75063
587,56.73502
588,56.71694
